"id","name","position","team","consensusStandard","consensusHalfPpr","consensusPpr"
"consensus-cairo-santos-k-chi","Cairo Santos","K","CHI","232","",""
"consensus-dontayvion-wicks-wr-gb-3","Dontayvion Wicks","WR","GB","","","232"
"joe-mixon","Joe Mixon","RB","","224","233","253"
"rashod-bateman","Rashod Bateman","WR","BAL","236","234","220"
"consensus-baltimore-ravens-dst-bal","Baltimore Ravens","DST","BAL","235","",""
"consensus-harrison-mevis-k-lar-2","Harrison Mevis","K","LAR","","235",""
"consensus-baltimore-ravens-dst-bal-3","Baltimore Ravens","DST","BAL","","","235"
"consensus-tank-dell-wr-hou-2","Tank Dell","WR","HOU","","236",""
"consensus-chris-brazzell-wr-fa-2","Chris Brazzell II","WR","FA","","237",""
"consensus-harrison-mevis-k-lar-3","Harrison Mevis","K","LAR","","","237"
"consensus-isaiah-davis-rb-nyj-2","Isaiah Davis","RB","NYJ","","238",""
"consensus-terrance-ferguson-te-lar-3","Terrance Ferguson","TE","LAR","","","238"
"david-njoku","David Njoku","TE","CLE","240","239","244"
"consensus-mack-hollins-wr-ne-2","Mack Hollins","WR","NE","","240",""
"consensus-gunnar-helm-te-ten-3","Gunnar Helm","TE","TEN","","","240"
"ollie-gordon-ii","Ollie Gordon II","RB","MIA","234","241","249"
"consensus-harrison-mevis-k-lar","Harrison Mevis","K","LAR","241","",""
"keon-coleman","Keon Coleman","WR","BUF","246","242","225"
"consensus-k-c-concepcion-wr-fa-3","K.C. Concepcion","WR","FA","","","242"
"consensus-malachi-fields-wr-fa","Malachi Fields","WR","FA","243","",""
"consensus-malachi-fields-wr-fa-2","Malachi Fields","WR","FA","","243",""
"xavier-legette","Xavier Legette","WR","CAR","242","244","226"
"consensus-colby-parkinson-te-lar","Colby Parkinson","TE","LAR","245","",""
"consensus-eli-stowers-te-fa-2","Eli Stowers","TE","FA","","245",""
"consensus-kenyon-sadiq-te-fa-3","Kenyon Sadiq","TE","FA","","","245"
"consensus-dontayvion-wicks-wr-gb-2","Dontayvion Wicks","WR","GB","","246",""
"consensus-isaiah-davis-rb-nyj","Isaiah Davis","RB","NYJ","247","",""
"consensus-gunnar-helm-te-ten-2","Gunnar Helm","TE","TEN","","247",""
"consensus-kaytron-allen-rb-fa-3","Kaytron Allen","RB","FA","","","247"
"consensus-elijah-sarratt-wr-fa-2","Elijah Sarratt","WR","FA","","248",""
"consensus-dontayvion-wicks-wr-gb","Dontayvion Wicks","WR","GB","249","",""
"chris-boswell-k-pit","Chris Boswell","K","PIT","254","249","252"
"consensus-jacoby-brissett-qb-ari","Jacoby Brissett","QB","ARI","250","",""
"najee-harris","Najee Harris","RB","LAC","251","250","243"
"tory-horton","Tory Horton","WR","SEA","229","251","248"
"consensus-chris-brazzell-wr-fa-3","Chris Brazzell II","WR","FA","","","251"
"consensus-mack-hollins-wr-ne","Mack Hollins","WR","NE","252","",""
"keenan-allen","Keenan Allen","WR","LAC","269","252","239"
"brashard-smith","Brashard Smith","RB","KC","263","253","223"
"consensus-ty-johnson-rb-buf-2","Ty Johnson","RB","BUF","","254",""
"consensus-gunnar-helm-te-ten","Gunnar Helm","TE","TEN","255","",""
"cade-otton","Cade Otton","TE","TB","274","255","257"
"consensus-nicholas-singleton-rb-fa-3","Nicholas Singleton","RB","FA","","","255"
"consensus-ty-johnson-rb-buf","Ty Johnson","RB","BUF","256","",""
"consensus-colby-parkinson-te-lar-2","Colby Parkinson","TE","LAR","","256",""
"consensus-ty-johnson-rb-buf-3","Ty Johnson","RB","BUF","","","256"
"harrison-butker-k-kc","Harrison Butker","K","KC","264","257","266"
"cooper-kupp","Cooper Kupp","WR","SEA","261","258","241"
"consensus-colby-parkinson-te-lar-3","Colby Parkinson","TE","LAR","","","258"
"consensus-demond-claiborne-rb-fa","Demond Claiborne","RB","FA","259","",""
"consensus-jacoby-brissett-qb-ari-2","Jacoby Brissett","QB","ARI","","259",""
"consensus-tank-dell-wr-hou-3","Tank Dell","WR","HOU","","","259"
"consensus-george-holani-rb-sea","George Holani","RB","SEA","260","",""
"wil-lutz-k-den","Wil Lutz","K","DEN","268","260","268"
"consensus-devaughn-vele-wr-no-3","Devaughn Vele","WR","NO","","","260"
"j-j-mccarthy","J.J. McCarthy","QB","MIN","257","261","246"
"pat-freiermuth","Pat Freiermuth","TE","PIT","258","262","267"
"consensus-atlanta-falcons-dst-atl","Atlanta Falcons","DST","ATL","262","",""
"consensus-elijah-sarratt-wr-fa-3","Elijah Sarratt","WR","FA","","","262"
"michael-penix-jr","Michael Penix Jr.","QB","ATL","248","263","227"
"consensus-jalen-nailor-wr-lv-2","Jalen Nailor","WR","LV","","264",""
"consensus-atlanta-falcons-dst-atl-3","Atlanta Falcons","DST","ATL","","","264"
"consensus-zachariah-branch-wr-fa","Zachariah Branch","WR","FA","265","",""
"consensus-devaughn-vele-wr-no-2","Devaughn Vele","WR","NO","","265",""
"consensus-isaiah-bond-wr-cle-3","Isaiah Bond","WR","CLE","","","265"
"consensus-demond-claiborne-rb-fa-2","Demond Claiborne","RB","FA","","266",""
"consensus-atlanta-falcons-dst-atl-2","Atlanta Falcons","DST","ATL","","267",""
"isaac-guerendo","Isaac Guerendo","RB","SF","267","268","287"
"jaleel-mclaughlin","Jaleel McLaughlin","RB","DEN","272","269","278"
"consensus-devaughn-vele-wr-no","Devaughn Vele","WR","NO","270","",""
"jack-bech","Jack Bech","WR","LV","280","270","254"
"consensus-isaiah-bond-wr-cle","Isaiah Bond","WR","CLE","271","",""
"evan-engram","Evan Engram","TE","DEN","277","271","261"
"consensus-lequint-allen-rb-jac-3","LeQuint Allen Jr.","RB","JAC","","","271"
"jerome-ford","Jerome Ford","RB","CLE","311","272","263"
"consensus-jalen-nailor-wr-lv-3","Jalen Nailor","WR","LV","","","272"
"consensus-germie-bernard-wr-fa","Germie Bernard","WR","FA","273","",""
"consensus-malik-davis-rb-dal-2","Malik Davis","RB","DAL","","273",""
"consensus-malachi-fields-wr-fa-3","Malachi Fields","WR","FA","","","273"
"darius-slayton","Darius Slayton","WR","NYG","266","274","250"
"consensus-jalen-nailor-wr-lv","Jalen Nailor","WR","LV","275","",""
"consensus-isaiah-bond-wr-cle-2","Isaiah Bond","WR","CLE","","275",""
"consensus-eli-stowers-te-fa-3","Eli Stowers","TE","FA","","","275"
"consensus-malik-davis-rb-dal","Malik Davis","RB","DAL","276","",""
"consensus-charlie-smyth-k-no-2","Charlie Smyth","K","NO","","276",""
"consensus-george-holani-rb-sea-3","George Holani","RB","SEA","","","276"
"andrei-iosivas","Andrei Iosivas","WR","CIN","281","277","269"
"consensus-demond-claiborne-rb-fa-3","Demond Claiborne","RB","FA","","","277"
"consensus-zachariah-branch-wr-fa-2","Zachariah Branch","WR","FA","","278",""
"jaydon-blue","Jaydon Blue","RB","DAL","253","279","274"
"consensus-george-holani-rb-sea-2","George Holani","RB","SEA","","280",""
"consensus-charlie-smyth-k-no-3","Charlie Smyth","K","NO","","","280"
"consensus-san-francisco-49ers-dst-sf-2","San Francisco 49ers","DST","SF","","281",""
"mike-gesicki","Mike Gesicki","TE","CIN","279","282","281"
"consensus-charlie-smyth-k-no","Charlie Smyth","K","NO","282","",""
"consensus-germie-bernard-wr-fa-2","Germie Bernard","WR","FA","","283",""
"consensus-devin-singletary-rb-nyg-2","Devin Singletary","RB","NYG","","284",""
"consensus-new-orleans-saints-dst-no-2","New Orleans Saints","DST","NO","","285",""
"shedeur-sanders","Shedeur Sanders","QB","CLE","283","286","270"
"consensus-luke-mccaffrey-wr-was","Luke McCaffrey","WR","WAS","286","",""
"consensus-chris-brooks-rb-gb-3","Chris Brooks","RB","GB","","","286"
"dj-giddens","DJ Giddens","RB","IND","278","287","301"
"consensus-tyquan-thornton-wr-kc","Tyquan Thornton","WR","KC","287","",""
"consensus-new-orleans-saints-dst-no","New Orleans Saints","DST","NO","288","",""
"consensus-konata-mumpfield-wr-lar-2","Konata Mumpfield","WR","LAR","","288",""
"consensus-konata-mumpfield-wr-lar-3","Konata Mumpfield","WR","LAR","","","288"
"christian-kirk","Christian Kirk","WR","HOU","296","289","283"
"consensus-new-orleans-saints-dst-no-3","New Orleans Saints","DST","NO","","","289"
"consensus-tyquan-thornton-wr-kc-2","Tyquan Thornton","WR","KC","","290",""
"consensus-zachariah-branch-wr-fa-3","Zachariah Branch","WR","FA","","","290"
"consensus-samaje-perine-rb-cin","Samaje Perine","RB","CIN","291","",""
"consensus-audric-estime-rb-no-2","Audric Estime","RB","NO","","291",""
"consensus-calvin-austin-wr-nyg-3","Calvin Austin III","WR","NYG","","","291"
"consensus-devin-singletary-rb-nyg","Devin Singletary","RB","NYG","292","",""
"consensus-luke-mccaffrey-wr-was-2","Luke McCaffrey","WR","WAS","","292",""
"consensus-malik-davis-rb-dal-3","Malik Davis","RB","DAL","","","292"
"consensus-lequint-allen-rb-jac","LeQuint Allen Jr.","RB","JAC","293","",""
"consensus-calvin-austin-wr-nyg-2","Calvin Austin III","WR","NYG","","293",""
"consensus-tyquan-thornton-wr-kc-3","Tyquan Thornton","WR","KC","","","293"
"consensus-calvin-austin-wr-nyg","Calvin Austin III","WR","NYG","294","",""
"consensus-lequint-allen-rb-jac-2","LeQuint Allen Jr.","RB","JAC","","294",""
"consensus-luke-mccaffrey-wr-was-3","Luke McCaffrey","WR","WAS","","","294"
"consensus-bam-knight-rb-ari-2","Bam Knight","RB","ARI","","295",""
"justice-hill","Justice Hill","RB","BAL","298","296","295"
"consensus-samaje-perine-rb-cin-3","Samaje Perine","RB","CIN","","","296"
"hollywood-brown","Hollywood Brown","WR","KC","285","297","282"
"consensus-konata-mumpfield-wr-lar","Konata Mumpfield","WR","LAR","297","",""
"consensus-malik-washington-wr-mia-3","Malik Washington","WR","MIA","","","297"
"jarquez-hunter","Jarquez Hunter","RB","LAR","290","298","307"
"consensus-devin-singletary-rb-nyg-3","Devin Singletary","RB","NYG","","","298"
"cedric-tillman","Cedric Tillman","WR","CLE","284","299","284"
"consensus-germie-bernard-wr-fa-3","Germie Bernard","WR","FA","","","299"
"consensus-malik-washington-wr-mia","Malik Washington","WR","MIA","300","",""
"consensus-malik-washington-wr-mia-2","Malik Washington","WR","MIA","","300",""
"kareem-hunt","Kareem Hunt","RB","KC","299","301","311"
"consensus-chris-brooks-rb-gb","Chris Brooks","RB","GB","301","",""
"tua-tagovailoa","Tua Tagovailoa","QB","ATL","295","302","279"
"consensus-jordan-james-rb-sf","Jordan James","RB","SF","302","",""
"consensus-san-francisco-49ers-dst-sf","San Francisco 49ers","DST","SF","303","",""
"aaron-rodgers","Aaron Rodgers","QB","PIT","307","303","303"
"consensus-indianapolis-colts-dst-ind-2","Indianapolis Colts","DST","IND","","304",""
"consensus-mac-jones-qb-sf-3","Mac Jones","QB","SF","","","304"
"consensus-audric-estime-rb-no","Audric Estime","RB","NO","305","",""
"consensus-samaje-perine-rb-cin-2","Samaje Perine","RB","CIN","","305",""
"consensus-san-francisco-49ers-dst-sf-3","San Francisco 49ers","DST","SF","","","305"
"marshawn-lloyd","Marshawn Lloyd","RB","GB","289","306","308"
"consensus-mac-jones-qb-sf","Mac Jones","QB","SF","306","",""
"consensus-audric-estime-rb-no-3","Audric Estime","RB","NO","","","306"
"jalen-royals","Jalen Royals","WR","KC","315","307","285"
"consensus-mac-jones-qb-sf-2","Mac Jones","QB","SF","","308",""
"dont-e-thornton-jr","Dont'e Thornton Jr.","WR","LV","308","309","302"
"consensus-indianapolis-colts-dst-ind","Indianapolis Colts","DST","IND","309","",""
"consensus-bam-knight-rb-ari-3","Bam Knight","RB","ARI","","","309"
"consensus-chris-brooks-rb-gb-2","Chris Brooks","RB","GB","","310",""
"consensus-indianapolis-colts-dst-ind-3","Indianapolis Colts","DST","IND","","","310"
"geno-smith","Geno Smith","QB","NYJ","304","311","300"
"consensus-trevor-etienne-rb-car","Trevor Etienne","RB","CAR","312","",""
"consensus-trevor-etienne-rb-car-2","Trevor Etienne","RB","CAR","","312",""
"consensus-bam-knight-rb-ari","Bam Knight","RB","ARI","313","",""
"consensus-jake-tonges-te-sf-2","Jake Tonges","TE","SF","","313",""
"consensus-trevor-etienne-rb-car-3","Trevor Etienne","RB","CAR","","","313"
"consensus-emari-demercado-rb-kc","Emari Demercado","RB","KC","314","",""
"joshua-palmer","Joshua Palmer","WR","BUF","322","314","322"
"consensus-noah-gray-te-kc-3","Noah Gray","TE","KC","","","314"
"consensus-emari-demercado-rb-kc-2","Emari Demercado","RB","KC","","315",""
"consensus-michael-carter-rb-fa-3","Michael Carter","RB","FA","","","315"
"consensus-tez-johnson-wr-tb","Tez Johnson","WR","TB","316","",""
"consensus-john-metchie-wr-car-2","John Metchie III","WR","CAR","","316",""
"consensus-emari-demercado-rb-kc-3","Emari Demercado","RB","KC","","","316"
"nick-chubb","Nick Chubb","RB","HOU","317","317","321"
"consensus-michael-carter-rb-fa","Michael Carter","RB","FA","318","",""
"consensus-zane-gonzalez-k-mia-2","Zane Gonzalez","K","MIA","","318",""
"consensus-jordan-james-rb-sf-3","Jordan James","RB","SF","","","318"
"consensus-jake-tonges-te-sf","Jake Tonges","TE","SF","319","",""
"consensus-olamide-zaccheaus-wr-atl-2","Olamide Zaccheaus","WR","ATL","","319",""
"consensus-olamide-zaccheaus-wr-atl-3","Olamide Zaccheaus","WR","ATL","","","319"
"demario-douglas","DeMario Douglas","WR","NE","327","320","327"
"consensus-tez-johnson-wr-tb-3","Tez Johnson","WR","TB","","","320"
"consensus-michael-carter-rb-fa-2","Michael Carter","RB","FA","","321",""
"darren-waller","Darren Waller","TE","MIA","321","322","324"
"will-reichard-k-min","Will Reichard","K","MIN","323","323","325"
"consensus-jake-tonges-te-sf-3","Jake Tonges","TE","SF","","","323"
"consensus-noah-gray-te-kc","Noah Gray","TE","KC","324","",""
"consensus-tez-johnson-wr-tb-2","Tez Johnson","WR","TB","","324",""
"will-shipley","Will Shipley","RB","PHI","320","325","312"
"consensus-olamide-zaccheaus-wr-atl","Olamide Zaccheaus","WR","ATL","325","",""
"consensus-tommy-myers-te-fa","Tommy Myers","TE","FA","326","",""
"consensus-tommy-myers-te-fa-2","Tommy Myers","TE","FA","","326",""
"consensus-miami-dolphins-dst-mia-2","Miami Dolphins","DST","MIA","","327",""
"tahj-brooks","Tahj Brooks","RB","CIN","310","328","317"
"consensus-ben-sinnott-te-was","Ben Sinnott","TE","WAS","328","",""
"consensus-carolina-panthers-dst-car-2","Carolina Panthers","DST","CAR","","329",""
"consensus-john-metchie-wr-car-3","John Metchie III","WR","CAR","","","329"
"consensus-jaylin-lane-wr-was","Jaylin Lane","WR","WAS","330","",""
"consensus-greg-dulcich-te-mia-2","Greg Dulcich","TE","MIA","","330",""
"consensus-ben-sinnott-te-was-3","Ben Sinnott","TE","WAS","","","330"
"consensus-john-bates-te-was-2","John Bates","TE","WAS","","331",""
"consensus-jaylin-lane-wr-was-3","Jaylin Lane","WR","WAS","","","331"
"consensus-zane-gonzalez-k-mia","Zane Gonzalez","K","MIA","332","",""
"consensus-chris-bell-wr-fa-2","Chris Bell","WR","FA","","332",""
"consensus-xavier-hutchinson-wr-hou-3","Xavier Hutchinson","WR","HOU","","","332"
"austin-ekeler","Austin Ekeler","RB","WAS","331","333","328"
"consensus-xavier-hutchinson-wr-hou","Xavier Hutchinson","WR","HOU","333","",""
"consensus-zane-gonzalez-k-mia-3","Zane Gonzalez","K","MIA","","","333"
"consensus-john-metchie-wr-car","John Metchie III","WR","CAR","334","",""
"consensus-jordan-james-rb-sf-2","Jordan James","RB","SF","","334",""
"consensus-carolina-panthers-dst-car","Carolina Panthers","DST","CAR","335","",""
"consensus-xavier-hutchinson-wr-hou-2","Xavier Hutchinson","WR","HOU","","335",""
"consensus-carolina-panthers-dst-car-3","Carolina Panthers","DST","CAR","","","335"
"consensus-ben-sinnott-te-was-2","Ben Sinnott","TE","WAS","","336",""
"consensus-darnell-washington-te-pit-3","Darnell Washington","TE","PIT","","","336"
"consensus-john-bates-te-was","John Bates","TE","WAS","337","",""
"consensus-jahan-dotson-wr-atl-2","Jahan Dotson","WR","ATL","","337",""
"consensus-john-bates-te-was-3","John Bates","TE","WAS","","","337"
"consensus-darnell-washington-te-pit","Darnell Washington","TE","PIT","338","",""
"consensus-noah-gray-te-kc-2","Noah Gray","TE","KC","","338",""
"consensus-michael-mayer-te-lv-3","Michael Mayer","TE","LV","","","338"
"consensus-chris-bell-wr-fa","Chris Bell","WR","FA","339","",""
"consensus-jaylin-lane-wr-was-2","Jaylin Lane","WR","WAS","","339",""
"consensus-greg-dulcich-te-mia-3","Greg Dulcich","TE","MIA","","","339"
"elijah-arroyo","Elijah Arroyo","TE","SEA","336","340","334"
"consensus-tyler-higbee-te-lar","Tyler Higbee","TE","LAR","340","",""
"consensus-jawhar-jordan-rb-hou-3","Jawhar Jordan","RB","HOU","","","340"
"consensus-jawhar-jordan-rb-hou","Jawhar Jordan","RB","HOU","341","",""
"consensus-jawhar-jordan-rb-hou-2","Jawhar Jordan","RB","HOU","","341",""
"consensus-miami-dolphins-dst-mia-3","Miami Dolphins","DST","MIA","","","341"
"consensus-greg-dulcich-te-mia","Greg Dulcich","TE","MIA","342","",""
"consensus-leveon-moss-rb-fa-2","Le'Veon Moss","RB","FA","","342",""
"consensus-jahan-dotson-wr-atl-3","Jahan Dotson","WR","ATL","","","342"
"anthony-richardson-sr","Anthony Richardson Sr.","QB","IND","329","343","326"
"consensus-michael-mayer-te-lv","Michael Mayer","TE","LV","343","",""
"justin-fields","Justin Fields","QB","NYJ","347","","343"
"consensus-miami-dolphins-dst-mia","Miami Dolphins","DST","MIA","344","",""
"consensus-jmari-taylor-rb-fa-2","J'Mari Taylor","RB","FA","","344",""
"consensus-tommy-myers-te-fa-3","Tommy Myers","TE","FA","","","344"
"consensus-adam-randall-rb-fa","Adam Randall","RB","FA","345","",""
"consensus-chicago-bears-dst-chi","Chicago Bears","DST","CHI","","345",""
"consensus-tyler-higbee-te-lar-3","Tyler Higbee","TE","LAR","","","345"
"consensus-jahan-dotson-wr-atl","Jahan Dotson","WR","ATL","346","",""
"consensus-raheim-sanders-rb-cle-2","Raheim Sanders","RB","CLE","","346",""
"consensus-chris-bell-wr-fa-3","Chris Bell","WR","FA","","","346"
"consensus-michael-mayer-te-lv-2","Michael Mayer","TE","LV","","347",""
"consensus-noah-fant-te-no-3","Noah Fant","TE","NO","","","347"
"consensus-antonio-williams-wr-fa","Antonio Williams","WR","FA","348","",""
"consensus-tyler-higbee-te-lar-2","Tyler Higbee","TE","LAR","","348",""
"consensus-adam-randall-rb-fa-2","Adam Randall","RB","FA","","","348"
"consensus-jmari-taylor-rb-fa","J'Mari Taylor","RB","FA","349","",""
"consensus-ty-simpson-qb-fa-2","Ty Simpson","QB","FA","","349",""
"consensus-deshaun-watson-qb-cle-3","Deshaun Watson","QB","CLE","","","349"
"consensus-leveon-moss-rb-fa","Le'Veon Moss","RB","FA","350","",""
"consensus-joe-milton-qb-dal-2","Joe Milton III","QB","DAL","","350",""
"consensus-ty-simpson-qb-fa-3","Ty Simpson","QB","FA","","","350"
"consensus-raheim-sanders-rb-cle","Raheim Sanders","RB","CLE","351","",""
"consensus-noah-fant-te-no-2","Noah Fant","TE","NO","","351",""
"consensus-antonio-williams-wr-fa-2","Antonio Williams","WR","FA","","","351"
"consensus-terrell-jennings-rb-ne-2","Terrell Jennings","RB","NE","","352",""
"consensus-leveon-moss-rb-fa-3","Le'Veon Moss","RB","FA","","","352"
"consensus-terrell-jennings-rb-ne","Terrell Jennings","RB","NE","353","",""
"consensus-marcus-mariota-qb-was-2","Marcus Mariota","QB","WAS","","353",""
"consensus-raheim-sanders-rb-cle-3","Raheim Sanders","RB","CLE","","","353"
"dameon-pierce","Dameon Pierce","RB","KC","352","354","360"
"consensus-ty-simpson-qb-fa","Ty Simpson","QB","FA","354","",""
"consensus-kalif-raymond-wr-chi-2","Kalif Raymond","WR","CHI","","","354"
"consensus-antonio-gibson-rb-fa","Antonio Gibson","RB","FA","355","",""
"consensus-antonio-gibson-rb-fa-2","Antonio Gibson","RB","FA","","355",""
"consensus-jmari-taylor-rb-fa-3","J'Mari Taylor","RB","FA","","","355"
"consensus-kalif-raymond-wr-chi","Kalif Raymond","WR","CHI","356","",""
"consensus-jameis-winston-qb-nyg-2","Jameis Winston","QB","NYG","","356",""
"consensus-joe-milton-qb-dal-3","Joe Milton III","QB","DAL","","","356"
"consensus-noah-fant-te-no","Noah Fant","TE","NO","357","",""
"consensus-deshaun-watson-qb-cle-2","Deshaun Watson","QB","CLE","","357",""
"consensus-terrell-jennings-rb-ne-3","Terrell Jennings","RB","NE","","","357"
"consensus-joe-milton-qb-dal","Joe Milton III","QB","DAL","358","",""
"jonnu-smith","Jonnu Smith","TE","PIT","369","358","364"
"consensus-antonio-gibson-rb-fa-3","Antonio Gibson","RB","FA","","","358"
"consensus-deshaun-watson-qb-cle","Deshaun Watson","QB","CLE","359","",""
"consensus-darnell-washington-te-pit-2","Darnell Washington","TE","PIT","","359",""
"consensus-kirk-cousins-qb-fa-2","Kirk Cousins","QB","FA","","","359"
"consensus-ted-hurst-wr-fa","Ted Hurst","WR","FA","360","",""
"cole-kmet","Cole Kmet","TE","CHI","366","360","369"
"consensus-kirk-cousins-qb-fa","Kirk Cousins","QB","FA","361","",""
"ja-tavion-sanders","Ja'Tavion Sanders","TE","CAR","370","361","365"
"consensus-ted-hurst-wr-fa-2","Ted Hurst","WR","FA","","","361"
"consensus-jakobi-lane-wr-fa","Ja'Kobi Lane","WR","FA","362","",""
"consensus-luke-musgrave-te-gb-2","Luke Musgrave","TE","GB","","362",""
"consensus-joe-flacco-qb-fa-2","Joe Flacco","QB","FA","","","362"
"consensus-skyler-bell-wr-fa","Skyler Bell","WR","FA","363","",""
"consensus-dawson-knox-te-buf-2","Dawson Knox","TE","BUF","","363",""
"consensus-jakobi-lane-wr-fa-2","Ja'Kobi Lane","WR","FA","","","363"
"consensus-dawson-knox-te-buf","Dawson Knox","TE","BUF","364","",""
"consensus-elijah-higgins-te-ari-2","Elijah Higgins","TE","ARI","","364",""
"consensus-joe-flacco-qb-fa","Joe Flacco","QB","FA","365","",""
"consensus-max-klare-te-fa-2","Max Klare","TE","FA","","365",""
"zach-ertz","Zach Ertz","TE","WAS","373","366","374"
"consensus-skyler-bell-wr-fa-2","Skyler Bell","WR","FA","","","366"
"consensus-luke-musgrave-te-gb","Luke Musgrave","TE","GB","367","",""
"consensus-dawson-knox-te-buf-3","Dawson Knox","TE","BUF","","","367"
"consensus-michael-trigg-te-fa","Michael Trigg","TE","FA","368","",""
"consensus-luke-musgrave-te-gb-3","Luke Musgrave","TE","GB","","","368"
"consensus-marcus-mariota-qb-was-3","Marcus Mariota","QB","WAS","","","370"
"consensus-marcus-mariota-qb-was","Marcus Mariota","QB","WAS","371","",""
"consensus-tyler-badie-rb-den-2","Tyler Badie","RB","DEN","","","371"
"consensus-max-klare-te-fa","Max Klare","TE","FA","372","",""
"consensus-jameis-winston-qb-nyg-3","Jameis Winston","QB","NYG","","","372"
"consensus-elijah-higgins-te-ari-3","Elijah Higgins","TE","ARI","","","373"
"consensus-jameis-winston-qb-nyg","Jameis Winston","QB","NYG","374","",""
"consensus-tyler-badie-rb-den","Tyler Badie","RB","DEN","375","",""
"consensus-gardner-minshew-qb-ari-2","Gardner Minshew II","QB","ARI","","","375"
"consensus-thomas-fidone-te-nyg","Thomas Fidone II","TE","NYG","376","",""
"consensus-thomas-fidone-te-nyg-2","Thomas Fidone II","TE","NYG","","","376"
"consensus-elijah-higgins-te-ari","Elijah Higgins","TE","ARI","377","",""
"consensus-max-klare-te-fa-3","Max Klare","TE","FA","","","377"
"consensus-gardner-minshew-qb-ari","Gardner Minshew II","QB","ARI","378","",""
"consensus-michael-trigg-te-fa-2","Michael Trigg","TE","FA","","","378"
"consensus-taysom-hill-te-fa","Taysom Hill","TE","FA","379","",""
"consensus-taysom-hill-te-fa-2","Taysom Hill","TE","FA","","","379"
"consensus-justin-joly-te-fa","Justin Joly","TE","FA","380","",""
"consensus-tutu-atwell-wr-mia-2","Tutu Atwell","WR","MIA","","","380"
"consensus-tutu-atwell-wr-mia","Tutu Atwell","WR","MIA","381","",""
